id	name_eng	titolo_eng	name_ita	desc_ita
278	Resistance-capacitance (RC) coupled amplifier	A multistage amplifier wherein successive stages of amplifiers are connected (coupled) using a combination of a resistor and a capacitor. (See also Direct coupled amplifier).	Amplificatore accoppiato resistenza-capacità (RC)	Un amplificatore multistadio in cui gli amplificatori sono collegati (accoppiati) utilizzando una combinazione di una resistenza e un condensatore. (Vedi anche Amplificatore ad accoppiamento diretto).
279	Resolution	The resolution of an analogue–digital (AD) converter (see digital EEG) is specified in binary digits or “bits”, which approximates to the fineness of detail in the amplitude domain. For example, a dynamic range of ±1023 µV (a total span of 2046 µV), converted at 12-bit resolution, will allow the digitized signal to take on values every 0.5 µV.	Risoluzione	La risoluzione di un convertitore analogico-digitale (AD) (vedi EEG digitale) è specificata in cifre binarie o “bit”, che determina l'entità del dettaglio della risoluzione nel dominio dell'ampiezza. Per esempio, una gamma dinamica di ±1023 µV (uno span totale di 2046 µV), convertita con una risoluzione di 12 bit, permetterà al segnale digitalizzato di assumere valori ogni 0,5 µV.
280	Rhythm	EEG activity consisting of waves of approximately constant period.	Ritmo	Attività EEG costituita da onde con un periodo approssimativamente costante.
281	Rhythmic	Applied to regular waves occurring at a constant period and of relatively uniform morphology. Synonyms: regular, monomorphic (use of latter term discouraged).	Ritmico	Termine applicato a onde regolari che si ripetono con un periodo costante e di morfologia relativamente uniforme. Sinonimi: regolare, monomorfo (l'uso di quest'ultimo termine è sconsigliato).
282	Rhythmic temporal theta	A normal graphoelement in preterm infants (GA 24–34 weeks of post menstrual age, maximal 29–32 weeks). Consisting of brief theta bursts (4.5–6 c/s) over the temporal regions, typically symmetrical but not necessarily synchronous. Synonyms: premature temporal theta, temporal sawtooth bursts.	Theta temporale ritmico	Un grafoelemento normale nei neonati pretermine (24-34 settimane di età gestazionale, massimo 29-32 settimane). Composto da brevi burst di attività theta (4,5-6 Hz) sulle regioni temporali, tipicamente simmetriche ma non necessariamente sincrone. Sinonimi: theta temporale prematuro, burst temporali a dente di sega.
283	Rhythmic temporal theta burst of drowsiness	A normal variant. Characteristic burst of 4–7 c/s waves whose morphology is frequently notched by faster waves, occurring over the temporal regions of the head during drowsiness, bilaterally or independently. Synonyms: rhythmic midtemporal discharge, psychomotor variant pattern (use of terms discouraged).	Burst theta temporale ritmico della sonnolenza	Variante fisiologica. Caratteristico burst di onde a 4-7 Hz la cui morfologia è frequentemente dentellata da onde più rapide, che si verificano sulle regioni temporali dello scalpo durante la sonnolenza, bilateralmente o indipendentemente. Sinonimi: scarica ritmica medio-temporale, pattern di variante psicomotoria (l'uso dei termini è sconsigliato).
284	Rhythm of alpha frequency	(1) In general: any rhythm in the alpha band. (2) Specifically: term should be used to designate those activities in the alpha band which differ from the alpha rhythm as regards their topography and/or reactivity and do not have specific appellations (such as mu rhythm and alpha coma) (see alpha rhythm).	Ritmo di frequenza alfa	(1) in generale: qualsiasi ritmo nella banda alfa; (2) in particolare: il termine dovrebbe essere usato per designare quelle attività nella banda alfa che differiscono dal ritmo alfa per quanto riguarda la loro topografia e/o reattività e non hanno appellativi specifici (come ritmo mu e coma alfa) (vedi ritmo alfa).
285	Ripples	Part of the high frequency oscillations (HFOs) bandwidth, usually defined as being in the range of 80–250 Hz (see high frequency oscillations).	Ripples	Parte della larghezza di banda delle oscillazioni ad alta frequenza, di solito nell'intervallo di frequenza di 80-250 Hz (vedi oscillazioni ad alta frequenza).
286	Rolandic spikes	Uni-or bilateral triphasic sharp waves in the centro-temporal area seen in childhood epilepsy with centro-temporal spikes. They often have a tangential (horizontal) dipole oriented with negativity in centro-temporal/parietal areas and positivity in the frontal region, and increase during sleep with a tendency to appear in series. Synonym: centro-temporal spikes or discharges (see benign epileptiform discharges of childhood: use of term discouraged).	Punte rolandiche	Onde puntute trifasiche unilaterali o bilaterali nell'area centro-temporale, di riscontro nell'epilessia infantile con punte centro-temporali. Spesso hanno un dipolo tangenziale (orizzontale) orientato con negatività nelle aree centro-temporali/parietali e positività nella regione frontale, aumentano durante il sonno con una tendenza a comparire in scariche. Sinonimo: punte o scariche centro-temporali (vedi scariche epilettiformi benigne dell'infanzia: l'uso del termine è sconsigliato).
287	Sampling rate	Frequency in Hz used for sampling the digital EEG. Sampling rates in the 250–500 Hz range are common. Higher sampling rates may be appropriate for specific applications, for example 1000–2000 Hz in intra-cranial depth EEG. (See analog-to-digital conversion, Nyquist theorem).	Frequenza di campionamento	Frequenza in Hz utilizzata per indicare il campionamento dell'EEG digitale. Le frequenze di campionamento nell'intervallo 250-500 Hz sono comuni. Frequenze di campionamento più elevate possono essere appropriate per applicazioni specifiche, per esempio 1000-2000 Hz nell'EEG intracranico. (Vedi conversione analogico-digitale, teorema di Nyquist).
288	Sawtooth (saw-tooth) waves	Brief runs of rhythmic sharp waves of 4–7 c/s, often of quite high amplitude (up to 125 µV). (See premature temporal theta).	Onde a dente di sega	Brevi sequenze di onde ritmiche aguzze a 4-7 Hz, spesso di ampiezza piuttosto elevata (fino a 125 µV). (Vedi theta temporale prematuro).
289	Scalp electrode	Electrode held against, attached to, or needle inserted in the scalp.	Elettrodo dello scalpo	Elettrodo applicato (a tampone, etc.) od inserito (ago) nello scalpo.
290	Scalp electroencephalogram	Record of electrical activity of the brain by means of electrodes placed on the surface of the head. The term should be used only to distinguish between scalp and other electroencephalograms, such as intra-cranial depth electroencephalograms. In all other instances, a scalp electroencephalogram should be referred to simply as an electroencephalogram (EEG).	Elettroencefalogramma di scalpo	Registrazione dell'attività elettrica del cervello per mezzo di elettrodi posti sulla superficie dello scalpo. Il termine dovrebbe essere usato solo per distinguere tra lo scalpo e altri elettroencefalogrammi, come gli elettroencefalogrammi di profondità intracranici. In tutti gli altri casi, un elettroencefalogramma derivato dallo scalpo dovrebbe essere indicato semplicemente come un elettroencefalogramma (EEG).
291	Scalp electroencephalography	Technique of recording scalp electroencephalograms. Should be referred to simply as electroencephalography (EEG).	Elettroencefalografia da scalpo	Tecnica di registrazione degli elettroencefalogrammi da scalpo. Dovrebbe essere indicato semplicemente come elettroencefalogramma (EEG).
292	Secondary bilateral synchrony	Spreading by propagation of an initially focal or regional epileptiform discharge to become generalized (see generalized). Synonym: secondary generalization.	Sincronia bilaterale secondaria	Diffusione per propagazione di una scarica epilettiforme inizialmente focale o regionale che diventa generalizzata (vedi generalizzata). Sinonimo: generalizzazione secondaria.
293	Seizure pattern, EEG	Phenomenon consisting of repetitive epileptiform EEG discharges at >2 c/s and/or characteristic pattern with quasi-rhythmic spatio-temporal evolution (i.e. gradual change in frequency, amplitude, morphology and location), lasting at least several seconds (usually >10 s). Two other short duration (<10 s) EEG seizure patterns are: electrodecrement and low voltage fast activity seen during clinically apparent epileptic seizures. Frequent interictal epileptiform discharges are usually not associated with clinical seizures and thus should be differentiated from EEG seizure patterns. Comment: EEG seizure patterns unaccompanied by clinical epileptic manifestations should be referred to as electrographic or subclinical seizures. (See electrodecrement and low voltage fast activity). Synonym: ictal EEG pattern.	Pattern di crisi, EEG	Fenomeno costituito da scariche epilettiformi EEG ripetitive a >2 Hz e/o con evoluzione spazio-temporale quasi ritmica (cioè che presentano un cambiamento graduale di frequenza, ampiezza, morfologia e localizzazione), della durata di almeno diversi secondi (di solito >10 s). Altre due tipologie di pattern EEG critici di breve durata (<10 s) sono: il pattern elettrodecrementale e l'attività rapida a basso voltaggio osservata durante crisi epilettiche clinicamente apparenti. Scariche epilettiformi interictali ad alta frequenza di solito non sono associate a crisi cliniche e quindi dovrebbero essere differenziate dalle crisi EEG. Commento: le crisi EEG non accompagnate da manifestazioni cliniche dovrebbero essere indicate come scariche elettrografiche o subcliniche. (Vedi elettrodecremento e attività rapido di basso voltaggio). Sinonimo: pattern EEG ictale.
294	Sensitivity	Ratio of input voltage to output trace deflection in an EEG channel. Sensitivity is measured in microvolts per millimeter (µV/mm). Example: Sensitivity=input voltage/output trace deflection=50μV/10mm=5μV/mm	Sensibilità	Rapporto tra la tensione di corrente (voltaggio) di ingresso e la deflessione della traccia in un canale EEG. La sensibilità si misura in microvolt per millimetro (µV/mm). Esempio: Sensibilità=tensione d'ingresso/deflessione della traccia d'uscita=50μV/10mm=5μV/mm
295	Sharp wave	An epileptiform transient clearly distinguished from the background activity, although amplitude varies. A pointed peak at a conventional time scale and duration of 70–200 ms, usually with a steeper ascending phase when compared to the descending phase. Main component is generally negative relative to other areas, and may be followed by slow wave of the same polarity. Comments: (1) term should be restricted to epileptiform discharges, and does not apply to: (a) distinctive physiological events such as vertex sharp transients, lambda waves and positive occipital sharp transients of sleep, (b) sharp transients poorly distinguished from background activity (without or with a slow wave for example six Hz spike-and-slow-wave). (2) Sharp waves should be differentiated from spikes, i.e. transients having similar characteristics but shorter duration. However, it should be kept in mind that this distinction is largely arbitrary and primarily serves descriptive purposes.	Onda puntuta	Un grafoelemento epilettiforme chiaramente distinto dall'attività di fondo, anche di ampiezza variabile. Deve avere un picco appuntito ed una durata di 70-200 ms, di solito con una branca ascendente più ripida rispetto alla branca discendente. La componente principale è generalmente negativa rispetto ad altre aree, e può essere seguita da un'onda lenta della stessa polarità. Commenti: (1) il termine dovrebbe essere limitato alle scariche epilettiformi, e non si applica a: (a) eventi fisiologici distintivi come le punte vertice, le onde lambda ed i transienti aguzzi occipitali positivi del sonno, (b) transienti aguzzi scarsamente distinti dall'attività di fondo (con o senza un'onda lenta, per esempio i complessi punta-onda-lenta a 6 Hz). (2) Le onde puntute devono essere differenziate dalle punte, cioè i transienti che hanno caratteristiche simili ma una durata inferiore. Tuttavia, va tenuto presente che questa distinzione è in gran parte arbitraria e serve principalmente a scopi descrittivi.
296	Sharp-and-slow-wave complex	An epileptiform pattern consisting of a sharp wave and an associated following slow wave, clearly distinguished from background activity. May be single or multiple. (See sharp wave).	Complesso di onde puntute e onde lente	Un grafoelemento epilettiforme che consiste in un'onda puntuta seguita da un'onda lenta associata, chiaramente distinta dall'attività di fondo. Può essere singolo o multiplo. (Vedi onda puntuta).
297	Simultaneous	Occurring at the same time. Synonym: synchronous.	Simultaneo	Che si verifica allo stesso tempo. Sinonimo: sincrono.
298	Sine wave	Wave having the form of a sine curve, describing a smooth periodic repetitive oscillation.	Onda sinusoidale	Onda avente la forma di una curva sinusoidale, che descrive un'oscillazione periodica regolare e ripetitiva.
299	Sinusoidal	Term applies to EEG waves resembling sine waves (see sine wave).	Sinusoidale	Termine che si applica alle onde EEG che assomigliano alle onde sinusoidali (vedi onda sinusoidale).
300	Six Hz spike-and-slow-wave	Spike-and-slow-wave complexes at 4–7 c/s, but mostly at 6 c/s occurring generally in brief bursts bilaterally and synchronously, symmetrically or asymmetrically, and either confined to or of larger amplitude over the posterior or anterior regions of the head. Amplitude varies but is generally smaller than that of spike-and-slow-wave complexes repeating at slower rates. Comment: when low amplitude, posterior and during drowsiness this pseudo-epileptiform pattern should be distinguished from epileptiform discharges. Synonym: phantom spike-and-wave (use of term discouraged).	Complessi punta-onda-lenta a 6 Hz	Complessi punta-onda-lenta a 4-7 Hz, ma soprattutto a 6 Hz che si presentano generalmente in brevi scariche bilaterali e sincrone, simmetriche o asimmetriche, localizzate o di maggiore ampiezza sulle regioni posteriori o anteriori della testa. L'ampiezza varia ma è generalmente minore di quella dei complessi punta-onda-lenta che si ripetono a ritmi più lenti. Commento: quando è di bassa ampiezza, posteriore e durante la sonnolenza questo pattern pseudo-epilettiforme deve essere distinto dalle scariche epilettiformi. Sinonimo: punta-onda fantasma (l'uso del termine è sconsigliato).
301	Sleep onset REM (SOREM)	Occurrence of REMs less than 15 min after falling asleep, typically seen in association with narcolepsy (but may be seen in apneic patients and even healthy volunteers). (See REM).	Insorgenza del sonno in fase REM (SOREM, sleep onset REM)	Insorgenza di sonno REM entro 15 minuti dall'addormentamento, tipicamente si osserva in pazienti con narcolessia (ma può essere visto anche in pazienti con apnee e anche in soggetti sani). (Vedi REM).
302	Sleep spindle	A normal graphoelement. Train of distinct waves with frequency at 11–16 Hz (most commonly at 12–14 Hz) with a duration ≥0.5 s. Generally higher amplitude over the central regions of the head, occurring during sleep. Amplitude varies but is maximal using central derivations.	Fuso del sonno	Un grafoelemento fisiologico. Treno di onde con frequenza a 11-16 Hz (più comunemente a 12-14 Hz) con una durata ≥0,5 s. Generalmente di maggiore ampiezza sulle regioni centrali, che si osserva/registra durante il sonno. L'ampiezza varia ma è massima nelle derivazioni centrali.
303	Sleep stages	Distinctive phases of sleep best demonstrated by polygraphic recordings of the EEG and other variables, including at least eye movements and activity of certain voluntary muscles. Comment: classified by various systems (see Iber et al., 2007, Silber et al., 2007, based on the frameworks of Dement and Kleitman, 1957, Rechtschaffen and Kales, 1968).	Stadi del sonno	Fasi distinte del sonno meglio dimostrate da registrazioni poligrafiche dell'EEG e di altre variabili, compresi almeno i movimenti oculari e l'attività di alcuni muscoli volontari. Commento: classificato secondo vari criteri (vedi Iber et al., 2007, Silber et al., 2007, Dement and Kleitman, 1957, Rechtschaffen and Kales, 1968).
304	Slow activity	Any activity of frequency less than alpha rhythm, i.e. theta and delta bands.	Attività lenta	Qualsiasi attività di frequenza inferiore al ritmo alfa, cioè le bande theta e delta.
305	Slow alpha variant rhythms	A normal variant. Rhythms mostly at 4–5 Hz, recorded over the posterior regions of the head, that behave like the posterior dominant rhythm in response to activation (i.e. are blocked or attenuated by attention, especially eye opening and mental effort). Generally alternate, or are intermixed, with the alpha rhythm to which they often are harmonically related. They may have a notched morphology but are not generally considered abnormal. Amplitude varies but is frequently close to 50 µV. Comment: slow alpha variant rhythms should be distinguished from posterior slow waves of youth, characteristic of children and adolescents and occasionally seen in young adults (see posterior dominant rhythm, posterior slow waves of youth).	Ritmi lenti varianti dell'alfa	Rappresentano una variante fisiologica. Ritmi per lo più a 4-5 Hz, registrati nelle regioni posteriori, che si comportano come il ritmo dominante posteriore in risposta alle attivazioni (cioè sono bloccati o attenuati dall'attenzione, soprattutto dall'apertura degli occhi e dalla attività mentale). Generalmente si alternano, o sono frammiste, con il ritmo alfa al quale spesso sono armonicamente legati. Possono avere una morfologia dentellata ma non sono generalmente considerati anormali. L'ampiezza varia ma è spesso vicina ai 50 µV. Commento: i ritmi lenti alfa varianti devono essere distinti dalle onde lente posteriori del giovane, caratteristiche dei bambini e degli adolescenti e occasionalmente viste nei giovani adulti (vedi ritmo dominante posteriore, onde lente posteriori del giovane).
306	Slow-fused transient	A normal graphoelement. A sharply contoured component of the normal posterior dominant rhythm precedes a posterior slow wave of youth, giving the false impression of a spike-and-slow-wave.	Slow-fused transient	Rappresenta un grafoelemento normale. Si intende una variante aguzza del normale ritmo dominante posteriore che precede un'onda lenta posteriore del giovane, dando la falsa impressione di un complesso punta-onda-lenta.
307	Slow wave	Wave with duration longer than alpha waves, i.e. over 1/8 s (>125 ms).	Onda lenta	Un'onda con durata più lunga delle onde alfa, cioè oltre 1/8 s (>125 ms).
308	Slow wave sleep	Non-REM sleep stage N3. Synonym: deep sleep. (See deep sleep, REM sleep).	Sonno ad onde lente	Stadio N3 del sonno non REM. Sinonimo: sonno profondo. (Vedi sonno profondo, sonno REM).
309	Small sharp spikes (SSS)	A normal variant. Small sharp spikes of very short duration (<50 ms) and low amplitude (<50 µV), often followed by a small theta wave, occurring in the temporal regions during drowsiness and light sleep. Synonym: benign epileptiform transients of sleep (use of term discouraged).	Small sharp spikes (SSS)	Sono una variante normale. Punte di piccola ampiezza di durata molto breve (<50 ms) e di bassa ampiezza (<50 µV), spesso seguite da una piccola onda theta, che si registrano nelle regioni temporali durante la sonnolenza e il sonno leggero. Sinonimo: transienti epilettiformi benigni del sonno (l'uso di questo termine è sconsigliato).
310	Somatosensory evoked potential (SEP)	Evoked potential in response to somatosensory stimulus, usually electrical stimulation of a sensory or mixed nerve (see evoked potential).	Potenziale evocato somatosensoriale (PES, somatosensory evoked potential)	Potenziale evocato in risposta a uno stimolo somatosensoriale, di solito la stimolazione elettrica di un nervo sensitivo puro o misto (vedi potenziale evocato).
311	Special electrode	Any electrode other than standard ten-twenty system scalp electrodes (for example surface sphenoidal or anterior “cheek” electrode, and closely spaced electrodes; see ten-ten system).	Elettrodo speciale	Qualsiasi elettrodo diverso dagli elettrodi standard posizionati secondo il sistema 10-20 (per esempio un elettrodo sfenoidale o un elettrodo zigomatico; oppure elettrodi posizionati a minor distanza, vedi sistema 10-10).
312	Sphenoidal electrode	Strictly needle or wire electrode inserted through the soft tissues of the face below the zygomatic arch so that its tip lies near the base of the skull in the region of the foramen ovale, designed to record from the medial temporal lobe structures. (See basal electrode).	Elettrodo sfenoidale	Elettrodo ad ago od a filo inserito attraverso i tessuti molli del viso sotto l'arco zigomatico in modo che la sua punta si trovi vicino alla base del cranio, nella regione del forame ovale. Progettato per registrare dalle strutture del lobo temporale mediale. (Vedi anche elettrodo basale).
313	Spike	A transient, clearly distinguished from background activity, with pointed peak at a conventional time scale and duration from 20 to less than 70 ms. Amplitude varies but typically >50 μV. Main component is generally negative relative to other areas. Comments: (1) term should be restricted to epileptiform discharges. EEG spikes should be differentiated from sharp waves, i.e. transients having similar characteristics but longer durations. However, it should be kept in mind that this distinction is largely arbitrary and primarily serves descriptive purposes. (2) EEG spikes should be clearly distinguished from the brief unit spikes recorded from single cells with microelectrode techniques. (See sharp wave).	Punta	Definisce un grafoelemento, chiaramente distinto dall'attività di fondo, con picco appuntito (in una scala temporale convenzionale) e di durata da 20 a meno di 70 ms. L'ampiezza varia ma tipicamente è >50 μV. La componente principale è generalmente negativa rispetto alle altre aree. Commenti: (1) il termine dovrebbe essere limitato alle scariche epilettiformi. Le punte EEG dovrebbero essere differenziate dalle onde definite puntute, cioè dai transienti che hanno caratteristiche simili ma durate più lunghe. Tuttavia, questa distinzione è in gran parte arbitraria e serve principalmente a scopi descrittivi; (2) le punte EEG dovrebbero essere chiaramente distinte dalle punte registrate dalle singole cellule con tecniche microelettrodiche. (Vedi onda puntuta).
314	Spike-and-slow-wave complex	An epileptiform pattern consisting of a spike and an associated following slow wave, clearly distinguished from background activity. May be single or multiple.	Complesso di punta-onda-lenta	Un grafoelemento epilettiforme che consiste in una punta e in un'onda lenta associate, chiaramente distinte dall'attività di fondo. Può essere un complesso singolo o multiplo.
315	Spindle	Group of rhythmic waves characterized by a progressively increasing, then gradually decreasing, amplitude (see sleep spindle).	Fuso	Gruppo di onde ritmiche caratterizzate da un'ampiezza progressivamente crescente e poi gradualmente decrescente (vedi fuso del sonno).
316	Spread	Propagation of EEG waves from one region of the scalp and/or brain to another (see generalization, propagation).	Diffusione	Propagazione delle onde EEG da una regione dello scalpo e/o del cervello a un'altra (vedi generalizzazione, propagazione).
317	Standard electrode	Conventional scalp electrode (see disk electrode, needle electrode, pad electrode, special electrode).	Elettrodo standard	Elettrodo convenzionale per lo scalpo (vedi elettrodo a coppetta, elettrodo ad ago, elettrodo a tampone, elettrodo speciale).
318	Standard electrode placement	Scalp electrode location(s) determined by the ten-twenty system (see ten-twenty system).	Posizionamento standard dell'elettrodo	Posizione dell'elettrodo sullo scalpo determinata dal sistema dei 10-20 (vedi sistema 10-20).
319	Status epilepticus, EEG	The occurrence of virtually continuous or repetitive epileptiform seizure pattern in an EEG. Term should be distinguished from clinical status epilepticus, although they may co-exist. (See seizure pattern). Synonym: electrographic status epilepticus.	Stato epilettico, EEG	Il verificarsi di attività epilettiformi praticamente continue o ripetitive in un EEG. Il termine dovrebbe essere distinto dallo stato epilettico clinico, anche se possono coesistere. (Vedi pattern di crisi). Sinonimo: stato epilettico elettrografico.
320	Stereotactic (stereotaxic) electroencephalogram (SEEG)	Intracerebral EEG recordings using electrodes implanted stereotactically, thus permitting the calculation of electrode coordinates that can be projected on a stereotactic brain atlas or magnetic resonance images to create three-dimensional pictures. Note the abbreviation SDEEG is also used for stereotactic depth electroencephalogram. Synonym: stereoelectroencephalography.	Elettroencefalografia stereotassica (SEEG)	Registrazioni EEG intracerebrali con elettrodi impiantati in modo stereotassico, permettendo così il calcolo delle coordinate degli elettrodi che possono essere proiettate su un atlante cerebrale stereotassico o su immagini di risonanza magnetica per creare immagini tridimensionali. Si noti che l'abbreviazione SEEG è usata anche per l'elettroencefalogramma stereotassico con elettrodi di profondità (depth). Sinonimo: stereoelettroencefalogramma.
321	Stereotactic (stereotaxic) electroencephalography (SEEG)	Technique of recording stereotactic (stereotaxic) electroencephalograms. Synonym: stereoelectroencephalogram.	Elettroencefalogramma stereotassico (SEEG)	Tecnica di registrazione stereotassica del segnale EEG (stereotassico). Sinonimo: stereoelettroencefalogramma.
322	Sternospinal reference	A non-cephalic reference achieved by interconnecting two electrodes placed over the right sternoclavicular junction and the spine of the seventh cervical vertebra, respectively, and balancing the voltage between them by means of a potentiometer to reduce ECG artifact.	Referenza sterno-spinale	Referenza non-cefalica ottenuta collegando due elettrodi posti rispettivamente sulla giunzione sternoclavicolare destra e sulla colonna vertebrale a livello della settima vertebra cervicale, e bilanciando il voltaggio tra loro per mezzo di un potenziometro per ridurre l'artefatto ECG.
323	Stimulus-induced rhythmic, periodic or ictal discharges (SIRPIDs)	Sharp transients that are rhythmic, periodic or ictal appearing discharges in comatose patients that are consistently induced by alerting stimuli including: auditory and other sensory stimulation, such as noxious (airway suctioning) and other patient-care activities. SIRPIDs may be regional or lateralized, bilateral or generalized, and of variable duration. Their pathophysiology and clinical significance is uncertain, but on occasions may be associated with clinical seizures.	Scariche ritmiche, periodiche o ictali indotte da stimolo (SIRPIDs, stimulus-induced rhythmic, periodic or ictal discharges)	Scariche ritmiche, periodiche o ictali che si manifestano nei pazienti in coma e che sono costantemente indotte da stimoli di allerta tra cui: stimoli uditivi e altri stimoli sensoriali, come quelli nocicettivi (aspirazione delle vie aeree) ed altre attività di cura del paziente. Le SIRPID possono essere regionali o lateralizzate, bilaterali o generalizzate e di durata variabile. La loro fisiopatologia e il loro significato clinico sono incerti, ma in alcune occasioni possono essere associati a crisi cliniche.
324	Subclinical rhythmic discharges of adults (SREDA)	This paroxysmal pattern is usually seen in the adult age group (typically over 50 years) and consists of a mixture of frequencies, often predominantly in the theta range, lasting 40–80 s. It may resemble a seizure discharge but is not accompanied by any clinical signs or symptoms. The significance of this pattern is uncertain, but it should be distinguished from an epileptiform seizure pattern.	Scariche ritmiche subcliniche degli adulti (SREDA, subclinical rhythmic electrographic discharges of adults)	Questo pattern parossistico è di solito osservato in soggetti di età adulta (tipicamente oltre i 50 anni) e consiste in un mix di frequenze, spesso prevalentemente nella gamma theta, della durata di 40-80 s. Può assomigliare a una scarica critica ma non è accompagnata da alcun segno o sintomo clinico. Il significato di questo pattern è incerto, ma dovrebbe essere distinto da un pattern epilettiforme critico.
325	Subdural electrode	Electrode inserted under the dural covering of the cerebrum for recording of electrocorticogram as a pre-surgical evaluation of medically intractable partial epilepsy, usually in the form of electrode strips. Synonym: epicortical electrode (use of term discouraged).	Elettrodo subdurale	Elettrodo inserito sotto la dura madre per la registrazione dell'elettrocorticogramma come valutazione prechirurgica dell'epilessia focale farmacoresistente, di solito sotto forma di strisce di elettrodi. Sinonimo: elettrodo epicorticale (l'uso del termine è sconsigliato).
326	Suppression	Entirety of an EEG record showing activity below 10 µV (reference derivation). (See burst suppression pattern).	Soppressione	Registrazione EEG che mostra una attività al di sotto di 10 µV (in montaggio referenziale). (Vedi burst-suppression).
327	Symmetry	Approximately equal amplitude, frequency and form of EEG activities over homologous areas on opposite sides of the head.	Simmetria	Ampiezza, frequenza e forma approssimativamente identiche delle attività EEG su aree omologhe sui lati opposti dello scalpo.
328	Synchrony	The simultaneous occurrence of EEG waves over distinct regions on the same or opposite sides of the head with the same speed and phase. Comment: term simultaneous only implies a lack of possible delay that is measurable with standard computer display. Certain electrodes are so close (for example Fp1-Fp2 and 01–02 respectively) that volume conduction can affect the signal on the other side, making these electrodes unsuitable for assessing synchrony). (See volume conduction).	Sincronia	L'occorrenza simultanea di onde EEG su regioni distinte su uno stesso lato o su lati opposti dello scalpo con la stessa frequenza e fase. Commento: il termine simultaneo implica solo la mancanza di un possibile ritardo misurabile con la visualizzazione standard del computer. Alcuni elettrodi sono così vicini (per esempio Fp1-Fp2 e O1-O2 rispettivamente) che il fenomeno del 'volume condotto' può influenzare il segnale sull'altro lato, rendendo questi elettrodi inadatti a valutare la sincronia). (Vedi il significato di 'volume condotto').
329	Temporal intermittent rhythmic delta activity (TIRDA)	An EEG pattern characterized by short trains of intermittent and rhythmic delta activity (1–3.5 Hz), often with sawtooth morphology, recorded predominantly over the anterior temporal regions. TIRDA usually occurs during drowsiness and light sleep and may either be unilateral or bilateral, occurring independently. It is associated with temporal lobe epilepsy, and when unilateral is virtually indicative of ipsilateral pathology.	Attività delta ritmica intermittente temporale (TIRDA, temporal intermittent rhythmic delta activity)	Un quadro EEG caratterizzato da brevi treni di attività delta intermittente e ritmica (1-3,5 Hz), spesso con morfologia a dente di sega, registrata prevalentemente nelle regioni temporali anteriori. Il pattern TIRDA si verifica di solito durante la sonnolenza ed il sonno leggero e può essere unilaterale o bilaterale, anche in modo indipendente. È associato all'epilessia del lobo temporale, e quando è unilaterale è praticamente indicativo di una patologia omolaterale.
330	Temporal slow activity of the elderly	Pattern of uncertain significance but usually not considered abnormal. Unilateral (most often on the left side) or bilateral, short runs of theta or delta activity intermixed with the background activity over the temporal region(s), in subjects >50 years of age, without clinical abnormalities. Often accentuates during drowsiness and hyperventilation.	Attività lenta temporale degli anziani	Quadro di significato incerto ma di solito non considerato anormale. Unilaterale (più spesso sul lato sinistro) o bilaterale, brevi sequenze di attività theta o delta mescolate con l'attività di fondo sulla/e regione/i temporale/i, in soggetti >50 anni di età, non associate a manifestazioni cliniche. Spesso si accentua durante la sonnolenza e l'iperventilazione.
331	Ten-ten (10–10) system	System of standardized scalp electrode placement. According to this system, additional scalp electrodes are placed at half distance between the standard electrodes of the ten-twenty system, i.e. 10 percentile increments of the reference curve (see ten-twenty system, closely spaced electrodes). Comment: use of additional supplementary scalp electrodes is indicated for instance during epilepsy monitoring, theoretically in order localize epileptiform discharges more precisely (for example surface sphenoidal or anterior “cheek” electrode). (See special electrode).	Sistema dieci-dieci (10-10)	Sistema di posizionamento standardizzato degli elettrodi di scalpo. Secondo questo sistema, gli elettrodi supplementari sono posizionati a metà della distanza tra gli elettrodi standard del sistema 10-20, vale a dire a distanze reciproche del 10% rispetto alla distanza nasion-inion (vedi sistema 10-20). Commento: l'uso di elettrodi supplementari di scalpo è indicato per esempio durante il monitoraggio dell'epilessia, teoricamente per localizzare più precisamente le scariche epilettiformi (per esempio elettrodi sfenoidali o zigomatico anteriore). (Vedi elettrodo speciale).
332	Ten-twenty (10–20) system	System of standardized scalp electrode placement recommended by the International Federation of Clinical Neurophysiology. According to this system, the placement of electrodes is determined by measuring the head from 4 external landmarks and taking 10 or 20 percentiles of these measurements. Comment: the use of additional supplementary scalp electrodes, such as electrodes in the inferior temporal chain of electrodes, is indicated in various circumstances (for example focal epilepsy investigation).	Sistema dieci-venti (10-20)	Sistema di posizionamento standardizzato degli elettrodi di scalpo raccomandato dalla Federazione Internazionale di Neurofisiologia Clinica. Secondo questo sistema, il posizionamento degli elettrodi è determinato misurando la testa da 4 punti di riferimento esterni e utilizzando il 10 o 20% di queste misure. Commento: l'uso di elettrodi supplementari di scalpo, come gli elettrodi della catena temporale inferiore, è indicato in varie circostanze (per esempio nell'indagine dell'epilessia focale).
333	Theta band	Frequency band from 4−<8 Hz. Greek letter: θ.	Banda theta	Banda di frequenza da 4-<8 Hz. Lettera greca: θ.
334	Theta rhythm	Rhythm with a frequency of 4−<8 Hz.	Ritmo theta	Ritmo con una frequenza di 4−<8 Hz.
335	Theta wave	Wave with duration of 1/4 to over 1/8 s (125–250 ms).	Onda theta	Onda con durata da 1/4 a più di 1/8 s (125-250 ms).
